Resident multiplier,Y7 EBITDA,Y7 margin,Compliant EBITDA,Compliant margin,Exit multiple,EV incl. episodic,EV excl. episodic
0,9802342.034834908,0.179319997783091,False,False,9.5,93122249.33093163,85589131.02299093
0.1,9879435.350851845,0.1803669198395638,False,False,9.5,93854635.83309253,86321517.52515182
0.2,9956528.666868782,0.18140964028886883,False,False,9.5,94587022.33525343,87053904.02731273
0.3,10033621.98288572,0.18244818437378693,True,False,9.5,95319408.83741434,87786290.52947363
0.4,10110715.298902657,0.18348257713529545,True,False,9.5,96051795.33957525,88518677.03163454
0.5,10187808.614919594,0.18451284341458069,True,False,9.5,96784181.84173614,89251063.53379543
0.6,10264901.93093653,0.18553900785502678,True,False,9.5,97516568.34389704,89983450.03595634
0.7,10341995.246953467,0.1865610949041802,True,False,9.5,98248954.84605794,90715836.53811723
0.8,10419088.562970405,0.1875791288156917,True,False,9.5,98981341.34821886,91448223.04027815
0.9,10496181.878987342,0.18859313365123428,True,False,9.5,99713727.85037975,92180609.54243904
1,10573275.195004279,0.18960313328239933,True,False,9.5,100446114.35254064,92912996.04459995
